Lineage	Gene
Arthropoda	93061at6656
Arthropoda	90580at6656
Arthropoda	67710at6656
Arthropoda	100664at6656
Arthropoda	92184at6656
Arthropoda	98544at6656
Arthropoda	62275at6656
Arthropoda	90822at6656
Arthropoda	42622at6656
Arthropoda	115841at6656
Arthropoda	42992at6656
Arthropoda	162147at6656
Arthropoda	20936at6656
Arthropoda	30512at6656
Arthropoda	165142at6656
Arthropoda	127649at6656
Arthropoda	52422at6656
Arthropoda	124981at6656
Arthropoda	151114at6656
Arthropoda	158760at6656
Arthropoda	48195at6656
Arthropoda	139834at6656
Arthropoda	117947at6656
Arthropoda	52224at6656
Arthropoda	97225at6656
Arthropoda	40092at6656
Arthropoda	150182at6656
Arthropoda	137334at6656
Arthropoda	149680at6656
Arthropoda	107806at6656
Arthropoda	157851at6656
Arthropoda	100612at6656
Arthropoda	133329at6656
Arthropoda	109724at6656
Arthropoda	54236at6656
Arthropoda	17122at6656
Arthropoda	83673at6656
Arthropoda	79915at6656
Arthropoda	159231at6656
Arthropoda	12771at6656
Arthropoda	128916at6656
Arthropoda	39809at6656
Arthropoda	138937at6656
Arthropoda	162841at6656
Arthropoda	130514at6656
Arthropoda	110787at6656
Arthropoda	98066at6656
Arthropoda	80693at6656
Arthropoda	150005at6656
Arthropoda	81413at6656
Arthropoda	107353at6656
Arthropoda	165207at6656
Arthropoda	153232at6656
Arthropoda	134073at6656
Arthropoda	68939at6656
Arthropoda	12029at6656
Arthropoda	43045at6656
Arthropoda	89153at6656
Arthropoda	45556at6656
Arthropoda	103908at6656
Arthropoda	126733at6656
Arthropoda	43728at6656
Arthropoda	115959at6656
Arthropoda	115001at6656
Arthropoda	59200at6656
Arthropoda	139217at6656
Arthropoda	117742at6656
Arthropoda	74692at6656
Arthropoda	90126at6656
Arthropoda	66229at6656
Arthropoda	78758at6656
Arthropoda	14447at6656
Arthropoda	62678at6656
Arthropoda	62979at6656
Arthropoda	35680at6656
Arthropoda	78921at6656
Arthropoda	40323at6656
Arthropoda	86930at6656
Arthropoda	107139at6656
Arthropoda	137711at6656
Arthropoda	30267at6656
Arthropoda	33794at6656
Arthropoda	129593at6656
Arthropoda	25680at6656
Arthropoda	92167at6656
Arthropoda	150479at6656
Arthropoda	52210at6656
Arthropoda	35035at6656
Arthropoda	134209at6656
Arthropoda	156728at6656
Arthropoda	150583at6656
Arthropoda	93432at6656
Arthropoda	103752at6656
